,hodnotenie,hodnotenie_numeral,komentar,id
0,negativní,2,"***** Jsem s obsluhou přístroje i s výkonem velice spokojen. P.Bouška
",2b616437836c098d30b0efbbaf50de8624a7b6a7fb0b0b751e11c5ededd630cc
1,negativní,2,"+ Kostky jsou velmi dobře zpracovány. + Příznivá cena na Mall.cz - Možná z důvodu poměrně velkorysých rozměrů, poněkud obtížnější manipulace pro nejmenší děti. - Zmiňovaná možnost skládání cestičky nevyužívá možnosti výraznější manipulace s kostkami.
",ae658f7731d96a6ee5b0dffb6bdb70c6702e6696d58e80f309cfa7dccd8610d4
2,negativní,2,"+ Zajímavá vůně, jiná než ostatní. - Na horký letní den možná trochu silná.
",595a890de3a67db14a6b78c0543d37bb14e63d41ce49f03d7a46eedead03413e
3,negativní,2,"+ bezdrát, zpracování, design - za tu cenu jsem čekal kvalitnější reprodukci - bohužel drát ničím nenahradíte
",cba6f761e1d0e047e962a6a95d3be125b45809fb8e4b15efef7a75d13f14c82b
4,negativní,2,"+ celkem tichý + výkon je OK + jednoduchá obsluha, výměna nástavců - nástavce pro mletí (perforované kolečka) včetně sekacího nože jsou z velmi nekvalitní oceli, která okamžitě rezne byť jen na ní zůstane jen kapička vody po umytí - při posledním mletí hovězího masa si mlýnek (prdnul) a maso bylo až na cca 3m vzdálené býlé zdi (grrrrr) Hvězdičky ubírám zejména kvůli nekvalitnímu materiálu, který rezne a také díky nemožnosti mytí v myčce.
",da3e045ba5af77d100b14049db5d273b3e49f8bca1d25a22446c06e3a61c860e
5,negativní,2,"+ celkem ujde , fotky jsou pěkný . -je trošku větší , jinak pro nenáročné doporučuji .
",51dc707950770de5c541c7164c2e2d3175dae993afbb7adab6aadaba2eb243b2
6,negativní,2,"+ cena + počet programů, především rychlé praní - po vyprání a otevření pračky vyteče na vyždímané prádlo dost vody - ruční praní jen na 40 stupňů Předtím jsem měla dražší model s ""6th sense"", který vydržel stěží 5 let a to s neustálými poruchami. Na levnější pračce méně elektroniky, tudíž méně možností poruch. S touto novou pračkou jsem celkově spokojena, věděla jsem do čeho jdu. Za tu cenu zase člověk nemůže očekávat zázraky. Pere dobře a programů má taky dost. Můžu doporučit.
",8654f4b523aa36aa507a6a881fcce489e6500ac0e591fc040cec2c01aeb4b688
7,negativní,2,"+ cena, vaha - nevydrzi zcela nafouknuta pres noc (mozna jen ten muj kus..)
",3025f5349fa52ea14f00dbefaa2b0ea363e23e1029327b0323a0d12215081538
8,negativní,2,"+ dobrý zvuk + citlivý tuner - nezvládá přehrát plynule bez mezer mezi skladbami CD, kde mezery nejsou, např. koncertní CD - mohlo být trochu jemnějsí odstupnění jednotlivých stupňů hlasitosti
",0e18b068e27fc06c2023f7571acd253cc7afa32e43297a9d602923cf4683f4be
9,negativní,2,"+ malé rozměry, zajímavý design - velmi slabý příjem (v porovnání s jinou pokojovou anténou), krátký anténní kabel
",782c82fd421f4bceb42fce9b6ca3490a63660b24b0b6d2faed94a5262755d61f
